Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Total Nacional;Media;2022;26.948,87
Ambos sexos;Total Nacional;Media;2021;25.896,82
Ambos sexos;Total Nacional;Media;2020;25.165,51
Ambos sexos;Total Nacional;Media;2019;24.395,98
Ambos sexos;Total Nacional;Media;2018;24.009,12
Ambos sexos;Total Nacional;Media;2017;23.646,5
Ambos sexos;Total Nacional;Media;2016;23.156,34
Ambos sexos;Total Nacional;Media;2015;23.106,3
Ambos sexos;Total Nacional;Media;2014;22.858,17
Ambos sexos;Total Nacional;Media;2013;22.697,86
Ambos sexos;Total Nacional;Media;2012;22.726,44
Ambos sexos;Total Nacional;Media;2011;22.899,35
Ambos sexos;Total Nacional;Media;2010;22.790,2
Ambos sexos;Total Nacional;Media;2009;22.511,47
Ambos sexos;Total Nacional;Media;2008;21.883,42
Ambos sexos;Total Nacional;Percentil 10;2022;10.657,37
Ambos sexos;Total Nacional;Percentil 10;2021;10.192,38
Ambos sexos;Total Nacional;Percentil 10;2020;9.586,51
Ambos sexos;Total Nacional;Percentil 10;2019;8.943,26
Ambos sexos;Total Nacional;Percentil 10;2018;8.457,36
Ambos sexos;Total Nacional;Percentil 10;2017;8.583,81
Ambos sexos;Total Nacional;Percentil 10;2016;8.095,44
Ambos sexos;Total Nacional;Percentil 10;2015;7.962,45
Ambos sexos;Total Nacional;Percentil 10;2014;7.626,2
Ambos sexos;Total Nacional;Percentil 10;2013;7.692,3
Ambos sexos;Total Nacional;Percentil 10;2012;7.979,4
Ambos sexos;Total Nacional;Percentil 10;2011;8.402,15
Ambos sexos;Total Nacional;Percentil 10;2010;8.643,66
Ambos sexos;Total Nacional;Percentil 10;2009;8.723,15
Ambos sexos;Total Nacional;Percentil 10;2008;8.903,52
Ambos sexos;Total Nacional;Cuartil inferior;2022;15.913,52
Ambos sexos;Total Nacional;Cuartil inferior;2021;15.215,03
Ambos sexos;Total Nacional;Cuartil inferior;2020;14.641,96
Ambos sexos;Total Nacional;Cuartil inferior;2019;14.271,06
Ambos sexos;Total Nacional;Cuartil inferior;2018;13.998,29
Ambos sexos;Total Nacional;Cuartil inferior;2017;13.897,22
Ambos sexos;Total Nacional;Cuartil inferior;2016;13.369,74
Ambos sexos;Total Nacional;Cuartil inferior;2015;13.414,92
Ambos sexos;Total Nacional;Cuartil inferior;2014;13.217,84
Ambos sexos;Total Nacional;Cuartil inferior;2013;13.039,36
Ambos sexos;Total Nacional;Cuartil inferior;2012;13.369,45
Ambos sexos;Total Nacional;Cuartil inferior;2011;13.553,97
Ambos sexos;Total Nacional;Cuartil inferior;2010;13.602,53
Ambos sexos;Total Nacional;Cuartil inferior;2009;13.587,26
Ambos sexos;Total Nacional;Cuartil inferior;2008;13.342,53
Ambos sexos;Total Nacional;Mediana;2022;22.383,11
Ambos sexos;Total Nacional;Mediana;2021;21.638,69
Ambos sexos;Total Nacional;Mediana;2020;20.920,12
Ambos sexos;Total Nacional;Mediana;2019;20.351,02
Ambos sexos;Total Nacional;Mediana;2018;20.078,44
Ambos sexos;Total Nacional;Mediana;2017;19.830,12
Ambos sexos;Total Nacional;Mediana;2016;19.432,62
Ambos sexos;Total Nacional;Mediana;2015;19.466,49
Ambos sexos;Total Nacional;Mediana;2014;19.263,78
Ambos sexos;Total Nacional;Mediana;2013;19.029,66
Ambos sexos;Total Nacional;Mediana;2012;19.040,98
Ambos sexos;Total Nacional;Mediana;2011;19.303,51
Ambos sexos;Total Nacional;Mediana;2010;19.017,09
Ambos sexos;Total Nacional;Mediana;2009;18.803,28
Ambos sexos;Total Nacional;Mediana;2008;18.244,4
Ambos sexos;Total Nacional;Cuartil superior;2022;33.561,62
Ambos sexos;Total Nacional;Cuartil superior;2021;32.385,45
Ambos sexos;Total Nacional;Cuartil superior;2020;31.550,01
Ambos sexos;Total Nacional;Cuartil superior;2019;30.558,45
Ambos sexos;Total Nacional;Cuartil superior;2018;30.057,33
Ambos sexos;Total Nacional;Cuartil superior;2017;29.628,64
Ambos sexos;Total Nacional;Cuartil superior;2016;29.191,56
Ambos sexos;Total Nacional;Cuartil superior;2015;29.163,66
Ambos sexos;Total Nacional;Cuartil superior;2014;28.782,7
Ambos sexos;Total Nacional;Cuartil superior;2013;28.563,69
Ambos sexos;Total Nacional;Cuartil superior;2012;28.395,5
Ambos sexos;Total Nacional;Cuartil superior;2011;28.658,66
Ambos sexos;Total Nacional;Cuartil superior;2010;28.255,45
Ambos sexos;Total Nacional;Cuartil superior;2009;28.024,86
Ambos sexos;Total Nacional;Cuartil superior;2008;26.874,02
Ambos sexos;Total Nacional;Percentil 90;2022;48.217,21
Ambos sexos;Total Nacional;Percentil 90;2021;46.430,36
Ambos sexos;Total Nacional;Percentil 90;2020;45.359,96
Ambos sexos;Total Nacional;Percentil 90;2019;44.127,12
Ambos sexos;Total Nacional;Percentil 90;2018;43.382,16
Ambos sexos;Total Nacional;Percentil 90;2017;42.454,21
Ambos sexos;Total Nacional;Percentil 90;2016;41.855,38
Ambos sexos;Total Nacional;Percentil 90;2015;41.648,67
Ambos sexos;Total Nacional;Percentil 90;2014;41.350,36
Ambos sexos;Total Nacional;Percentil 90;2013;41.108,4
Ambos sexos;Total Nacional;Percentil 90;2012;40.807,99
Ambos sexos;Total Nacional;Percentil 90;2011;40.680,54
Ambos sexos;Total Nacional;Percentil 90;2010;40.811,42
Ambos sexos;Total Nacional;Percentil 90;2009;40.123,94
Ambos sexos;Total Nacional;Percentil 90;2008;38.558,29
Ambos sexos;Andalucía;Media;2022;24.094,32
Ambos sexos;Andalucía;Media;2021;23.154,99
Ambos sexos;Andalucía;Media;2020;22.323,85
Ambos sexos;Andalucía;Media;2019;22.060,99
Ambos sexos;Andalucía;Media;2018;21.805,92
Ambos sexos;Andalucía;Media;2017;21.404,28
Ambos sexos;Andalucía;Media;2016;21.268,41
Ambos sexos;Andalucía;Media;2015;21.381,03
Ambos sexos;Andalucía;Media;2014;20.840,3
Ambos sexos;Andalucía;Media;2013;20.782,03
Ambos sexos;Andalucía;Media;2012;20.891,63
Ambos sexos;Andalucía;Media;2011;21.350,98
Ambos sexos;Andalucía;Media;2010;20.964,36
Ambos sexos;Andalucía;Media;2009;20.906,33
Ambos sexos;Andalucía;Media;2008;20.138,56
Ambos sexos;Andalucía;Percentil 10;2022;9.822,45
Ambos sexos;Andalucía;Percentil 10;2021;9.072,77
Ambos sexos;Andalucía;Percentil 10;2020;8.336,04
Ambos sexos;Andalucía;Percentil 10;2019;8.185,05
Ambos sexos;Andalucía;Percentil 10;2018;7.438,62
Ambos sexos;Andalucía;Percentil 10;2017;7.836,76
Ambos sexos;Andalucía;Percentil 10;2016;7.427,89
Ambos sexos;Andalucía;Percentil 10;2015;7.438,69
Ambos sexos;Andalucía;Percentil 10;2014;6.741,52
Ambos sexos;Andalucía;Percentil 10;2013;7.066,88
Ambos sexos;Andalucía;Percentil 10;2012;7.393,08
Ambos sexos;Andalucía;Percentil 10;2011;7.440,95
Ambos sexos;Andalucía;Percentil 10;2010;7.418,63
Ambos sexos;Andalucía;Percentil 10;2009;7.757,16
Ambos sexos;Andalucía;Percentil 10;2008;8.153,42
Ambos sexos;Andalucía;Cuartil inferior;2022;14.540,28
Ambos sexos;Andalucía;Cuartil inferior;2021;14.119,33
Ambos sexos;Andalucía;Cuartil inferior;2020;13.312,61
Ambos sexos;Andalucía;Cuartil inferior;2019;13.112,86
Ambos sexos;Andalucía;Cuartil inferior;2018;12.408,06
Ambos sexos;Andalucía;Cuartil inferior;2017;12.735
Ambos sexos;Andalucía;Cuartil inferior;2016;12.212,29
Ambos sexos;Andalucía;Cuartil inferior;2015;12.454,33
Ambos sexos;Andalucía;Cuartil inferior;2014;11.937,48
Ambos sexos;Andalucía;Cuartil inferior;2013;12.012,54
Ambos sexos;Andalucía;Cuartil inferior;2012;12.321,3
Ambos sexos;Andalucía;Cuartil inferior;2011;12.510,79
Ambos sexos;Andalucía;Cuartil inferior;2010;12.556,13
Ambos sexos;Andalucía;Cuartil inferior;2009;12.816,46
Ambos sexos;Andalucía;Cuartil inferior;2008;12.906
Ambos sexos;Andalucía;Mediana;2022;19.883,6
Ambos sexos;Andalucía;Mediana;2021;19.522,21
Ambos sexos;Andalucía;Mediana;2020;18.766,66
Ambos sexos;Andalucía;Mediana;2019;18.671,83
Ambos sexos;Andalucía;Mediana;2018;18.317,19
Ambos sexos;Andalucía;Mediana;2017;18.251,94
Ambos sexos;Andalucía;Mediana;2016;18.051,91
Ambos sexos;Andalucía;Mediana;2015;18.101,7
Ambos sexos;Andalucía;Mediana;2014;18.034,03
Ambos sexos;Andalucía;Mediana;2013;17.722,42
Ambos sexos;Andalucía;Mediana;2012;17.910,11
Ambos sexos;Andalucía;Mediana;2011;18.193,56
Ambos sexos;Andalucía;Mediana;2010;17.565,81
Ambos sexos;Andalucía;Mediana;2009;17.866,08
Ambos sexos;Andalucía;Mediana;2008;17.371,95
Ambos sexos;Andalucía;Cuartil superior;2022;29.514,63
Ambos sexos;Andalucía;Cuartil superior;2021;28.848,29
Ambos sexos;Andalucía;Cuartil superior;2020;27.797,64
Ambos sexos;Andalucía;Cuartil superior;2019;27.600,38
Ambos sexos;Andalucía;Cuartil superior;2018;27.499,97
Ambos sexos;Andalucía;Cuartil superior;2017;26.668,08
Ambos sexos;Andalucía;Cuartil superior;2016;26.862,33
Ambos sexos;Andalucía;Cuartil superior;2015;27.048,58
Ambos sexos;Andalucía;Cuartil superior;2014;26.129,25
Ambos sexos;Andalucía;Cuartil superior;2013;26.357,12
Ambos sexos;Andalucía;Cuartil superior;2012;25.948,92
Ambos sexos;Andalucía;Cuartil superior;2011;26.681,9
Ambos sexos;Andalucía;Cuartil superior;2010;25.569,75
Ambos sexos;Andalucía;Cuartil superior;2009;26.036,43
Ambos sexos;Andalucía;Cuartil superior;2008;24.537,31
Ambos sexos;Andalucía;Percentil 90;2022;43.652,87
Ambos sexos;Andalucía;Percentil 90;2021;41.054,13
Ambos sexos;Andalucía;Percentil 90;2020;39.886,81
Ambos sexos;Andalucía;Percentil 90;2019;39.781,75
Ambos sexos;Andalucía;Percentil 90;2018;40.412,36
Ambos sexos;Andalucía;Percentil 90;2017;38.260,58
Ambos sexos;Andalucía;Percentil 90;2016;38.731,32
Ambos sexos;Andalucía;Percentil 90;2015;39.121,07
Ambos sexos;Andalucía;Percentil 90;2014;37.835,52
Ambos sexos;Andalucía;Percentil 90;2013;38.061,86
Ambos sexos;Andalucía;Percentil 90;2012;37.291,48
Ambos sexos;Andalucía;Percentil 90;2011;38.761,2
Ambos sexos;Andalucía;Percentil 90;2010;38.447
Ambos sexos;Andalucía;Percentil 90;2009;37.655,42
Ambos sexos;Andalucía;Percentil 90;2008;35.105,72
Ambos sexos;Aragón;Media;2022;26.012,71
Ambos sexos;Aragón;Media;2021;25.011,55
Ambos sexos;Aragón;Media;2020;24.113,57
Ambos sexos;Aragón;Media;2019;23.565,09
Ambos sexos;Aragón;Media;2018;23.531,83
Ambos sexos;Aragón;Media;2017;23.039,94
Ambos sexos;Aragón;Media;2016;22.248,76
Ambos sexos;Aragón;Media;2015;22.327,18
Ambos sexos;Aragón;Media;2014;22.095,79
Ambos sexos;Aragón;Media;2013;22.054,85
Ambos sexos;Aragón;Media;2012;22.103,79
Ambos sexos;Aragón;Media;2011;22.333,53
Ambos sexos;Aragón;Media;2010;22.316,69
Ambos sexos;Aragón;Media;2009;22.133,77
Ambos sexos;Aragón;Media;2008;21.594,47
Ambos sexos;Aragón;Percentil 10;2022;10.359,5
Ambos sexos;Aragón;Percentil 10;2021;10.781,83
Ambos sexos;Aragón;Percentil 10;2020;10.127,54
Ambos sexos;Aragón;Percentil 10;2019;8.931,4
Ambos sexos;Aragón;Percentil 10;2018;8.337,6
Ambos sexos;Aragón;Percentil 10;2017;9.082,3
Ambos sexos;Aragón;Percentil 10;2016;7.896,6
Ambos sexos;Aragón;Percentil 10;2015;7.875,69
Ambos sexos;Aragón;Percentil 10;2014;7.799,43
